,,,Sdc4,9030619P08Rik,Csf2ra,4930506C21Rik,Eva1a,4930402H24Rik,Agt,Gm43777,Camkk2,Emc8,Cyp4f15,,Fuz,Zfp951,Gm24270,Gng11,Mafk,Cideb,Pnpla2,Miip,4930402H24Rik,Eno1b,Cd2ap,Armc6,Il12rb1,Gm43777,Oxct1,Crym,Prkag2,C8b,Olig1,Ddx50,Ltbr,Hbb-bt,Cyp4f15,Paqr4,Usp48,Gm38162,Sigmar1,Igbp1,Tmem165,Fam126a,Etnppl,Patl1,Sqor,,,,Arid5a,Tfap4,Col15a1,mt-Nd6,Ppp3r1,Clec16a,Apln,,Apln,Ctss,,
,,,B430219N15Rik,Fbxo31,Capn2,Fbxo32,Nfkbil1,Cd34,Slc22a8,Nbl1,Itm2a,Gm43844,Gm5464,,Ccdc82,Lama2,Rbfox3,Gm44234,Baz2a,Gm14586,Zfp956,Gm16201,Gkn3,Unkl,Eif4b,Mpnd,Ddhd1,Fth1,Ugt8a,Cyp39a1,Gm45504,Fam213a,Fryl,4930470G03Rik,Lyz2,Gm11517,Dhtkd1,Prrt1,Scn10a,Aire,Tubb4b,Aebp1,Omg,Pltp,Jade2,Bcl9,Acyp1,,,,Ssc5d,Eif3f,Kcp,Vps26a,Txnip,Fads1,Snhg11,,Snhg11,Slc14a1,,
,,,Rdh16,Dio2,Ncan,Smyd1,Cotl1,Gm10635,Cnmd,Pcnt,Tbx3,Prodh,,,Gm23935,Amy1,Tppp3,Gm36988,Zfp395,Cebpzos,Gm43844,Tulp3,Jam2,Armc6,Tma16,Srsf4,Arhgef10,Pik3ip1,Alas2,Slc22a28,Mat1a,Cryzl2,Itm2a,C230035I16Rik,Ugt8a,H2-M6-ps,Agt,Slc6a9,4930570G19Rik,Cyp2d22,Trp53inp2,Greb1,Sult1a1,Sec14l3,Mrpl36,Timp2,Nit1,,,,Pnrc1,Fbxo31,Abhd11,Polr1a,Fam169a,Gm13563,Pon3,,Pon3,Lrp8os2,,
,,,Orm3,Tcn2,Nek6,S100b,Thra,Igsf1,Fam213a,Gas7,Kcne1l,Heph,,,Emc10,Eif2s3x,Snx15,Cst6,Man1b1,Gm44799,Hba-a1,Gm48529,Zfp84,Mpnd,Nucks1,Sppl2b,Neat1,Pdk2,Prom1,C8b,Baiap2,Acsm2,Nup88,Atp2b1,Gpr4,Sult1a1,Slc24a4,Emcn,Prkg1,Amy1,Akt2,Syne2,Mbip,Vsir,Rgs5,Igf2r,Pdzd11,,,,Olfml2b,Zcchc24,Mpnd,Gm37345,Tapt1,Shroom3,AU021092,,AU021092,Neat1,,
,,,Mafb,Aldh1l1,Ly6e,Bcas1,Eif3f,Jph4,Ndrg1,Sult1a1,Abhd1,Kcna6,,,Etnppl,Zfp869,Thop1,Cideb,Efr3b,Kcnq1ot1,Zmym1,Mphosph6,Gbp3,Srsf4,Nol10,Ccdc85c,Gm43777,Abhd14b,Mki67,Fam213a,Map4k4,Elovl3,Eno1b,Nrip3,Tst,E230001N04Rik,Nanos2,Gm45426,Anxa6,Gm43300,Olfml3,Fam126a,Pcnp,Gm17455,Arpc3,Atmin,Mrpl24,,,,Apln,Sidt2,Tmsb10,Ncan,Gm17066,Sgsm1,Retsat,,Retsat,Gbp4,,
,,,Dusp15,Gm44421,Hemk1,Etnppl,Apoe,Tmeff2,Cxcl12,Pink1,Vim,Rlbp1,,,Dlk2,Crebrf,Polr2l,Gm14586,Cbx7,C530043K16Rik,Mki67,Sumo3,Reep3,Sppl2b,Apoc1,Atp13a2,Fth1,Hr,1500009L16Rik,Cryzl2,Slco1a4,Acss2,Spaca6,Exoc1,Dock6,Pcnt,Gm6682,Ywhah,Prom1,Pik3c2a,Lztr1,Pltp,Tmem144,Trib2,Bud31,Csmd1,Polb,,,,Las1l,Gpx3,Wdr13,Mbnl2,Gm32444,Gnas,Ass1,,Ass1,Ace,,
,,,Kctd15,Cbs,Rbp4,Jam2,Gm24187,Gpr17,Col1a1,Gm47017,Gabra2,2310015A10Rik,,,Paip2b,Lix1l,Gm24187,Arhgef11,Snrnp200,Rpl36a-ps2,Itm2a,Prpf6,Lcat,Ccdc85c,BC051142,Rap1gap,Pik3ip1,Rorc,Gkn3,Acsm2,Slc17a1,Farp1,Wnt10b,Gm45716,Fsd1,Pnpla7,Lrp8os3,Cdc42ep1,Wnt10b,Tet2,Arpc3,Sec14l3,Nars,Amz1,Disp2,Gm43737,Atg5,,,,Trafd1,Sun1,Ndufab1,Ttr,Il1rapl1,Tmem184b,Cxcl12,,Cxcl12,,,
,,,Asl,Gstt4,Inhbb,Map6d1,Casq1,Il33,Ybx2,Penk,Fgf11,Aqp4,,,Mypop,Sgk1,Tmem151a,Cds2,Gtpbp2,1810037I17Rik,Fam198a,Grk6,Sema4d,Atp13a2,Pgrmc2,Shank3,Pdk2,Gm37069,Plscr2,Elovl3,Ildr2,Pdzk1ip1,1700109H08Rik,Srsf11,Exosc5,Thra,Cbx7,Slco2b1,Ccdc82,Plekha1,Abhd1,Vsir,Braf,Slc38a3,Mcts2,Sorcs1,Taf13,,,,Tomm40l,Ubb,Gm44250,Sult1a1,Calcrl,Sarm1,Sc5d,,Sc5d,,,
,,,Cyp2b10,Ndrg2,Matn2,Itgad,Ccdc149,8-Sep,Lcat,Ovgp1,Gm6277,Selenbp1,,,Adhfe1,Gm16536,Rn7sk,Cebpzos,Nfe2l1,Trem2,Arrdc2,Prodh,Rgs5,Rap1gap,Cd109,Kifc3,Abhd14b,Ralgds,Synj2bp,As3mt,Acnat2,Nudt7,Phgdh,Coro6,H2-Q4,CT030170.3,Gm43737,Gtf2e2,Tspan7,Ddx3y,Slc25a37,Stxbp6,Acsl3,Fbf1,Cox6b1,Clcn6,Mrps21,,,,Glrx,Asb11,Cbr2,Cadm2,Zdhhc20,Bbs1,Heg1,,Heg1,,,
,,,9030619P08Rik,Coq9,H2-Q10,Il12rb1,Gm14964,Prr18,Cyp2d22,Abca1,Traf1,Fabp7,,,Cst3,Sec63,Stmn3,Gm44799,Eif4b,BC002163,Slc7a2,Xab2,Il6st,Eif3f,Rac1,Pex6,Hr,Mt2,Abhd1,Acss2,Cbr1,Cyp7b1,Cnp,Gm31513,Islr,Abhd1,Fam43a,Proca1,Ophn1,Zfas1,Cox6b1,Gm17455,Rnf34,Crocc,Trappc1,Slc38a1,Myl6,,,,Mpc2,Fgfr1,Col5a1,Rab18,Heph,Zfp629,Msmo1,,Msmo1,,,
,,,Fbxo31,Smpd1,2810004N23Rik,Slain1,Fam159a,Rap1a,Ccdc28b,Ly6g5b,Sost,Xpnpep2,,,Phyhd1,Atp13a4,Gm13889,Kcnq1ot1,Acsl1,Gng13,Serac1,Maff,Zfp109,Shank3,Ocrl,Papln,Top2a,Zfas1,Capn7,Farp1,Cdip1,Mup21,Ccdc82,C230012O17Rik,Csnk1g2,Klhl6,Atp1a4,Clec2d,Ighm,Casq1,Bcas1,Trib2,9330121K16Rik,Lingo3,Astn2,Wbp11,H3f3a,,,,Morf4l1,Gm15635,Aplnr,Gm28438,Dmd,Fbxo10,Rsrp1,,Rsrp1,,,
,,,Dio2,Dgat1,Ccdc80,Gm10076,Hist1h4h,Elovl7,Fam107a,Tssk5,Prr18,Cpeb1os1,,,Isyna1,F3,Ncdn,Ptpn11,Gramd4,Tma7,Lrp4,Idh2,Lrp1b,Kifc3,Tmem167b,Fam171a2,Rorc,Arhgef37,Parg,Pdzk1ip1,Itga7,Stap1,Cdc42ep1,Cry2,H2-Ab1,Cxcl12,BC051142,Olfml3,Trem2,Galnt16,Tpi1,Amz1,Sgk1,Efs,Cox7a2,4632404H12Rik,Mocs2,,,,Zpr1,Psmd4,Frzb,Myo19,Bzw1,Smarcc1,Selenop,,Selenop,,,
,,,Tcn2,Lpl,Irs3,Ptgds,Nanos2,Golga7,Stk17b,Casq1,Nrep,Casq1,,,Pomc,Zmym5,Mir6236,C530043K16Rik,Stum,Spa17,Heatr1,4833413G10Rik,Fam184b,Pex6,Cd274,Map2k2,Gm37069,Cdkn1a,Tppp,Nudt7,Fmo2,Ugt2b1,Apc,Vps33a,Isyna1,Cry1,Dennd1a,Hba-a1,Desi1,Plcxd3,Trim37,Slc38a3,Bzw1,Nat14,Iah1,Prpf8,Glo1,,,,Nploc4,Nrap,Akr1b10,Pxmp2,9330162G02Rik,Madd,Aqp2,,Aqp2,,,
,,,Ccser2,Shmt1,Tmem45b,Ap3m1,Gm44646,Cep97,Plcxd2,Eif3f,Lpar1,Phkg1,,,Ngef,Stab2,Phlda1,ENSMUSG00000117814,Mtmr3,Fabp5,Slfn5,Pxmp2,Gm12250,Sparc,Wdr26,Plpp7,Ralgds,Rhou,Cetn2,Cyp7b1,Gm48199,C6,Ccnd1,Sult1a1,Cd209f,Tspan17,Gm15691,,Sigmar1,Zfp26,Tppp,Fbf1,Ppp2cb,Scn5a,Sqor,Magee1,Ndufs5,,,,Thy1,Dym,Col6a3,Ppp3r1,Sh3bgrl,Eif4g1,Itih2,,Itih2,,,
,,,Aldh1l1,Irf4,AC166078.1,4930402H24Rik,Acr,Exd2,Car2,1700123K08Rik,Gamt,Cxcl12,,,Raly,Slc2a4,Unc5a,Rpl36a-ps2,Rbfox2,B230206L02Rik,Casq1,Aldoc,Trim37,Papln,Ccbe1,Abcb9,Ly86,Ogdhl,Fv1,Mup21,Igfbp1,Ces2c,Auts2,Tex29,H2-Eb1,Fads1,Rpl19,,Tubb4b,Aox1,Ndufa1,Crocc,Nfam1,Smoc1,Acyp1,Ntrk2,Mrps14,,,,Ing1,Cst6,Fbln7,Txnip,Zc2hc1a,Ddr1,Pcolce,,Pcolce,,,
